name;symbol;asset_type;launch_year;category;label_code
Chainlink                             ;LINK      ;Crypto;2020;General;216
Hedera                                ;HBAR      ;Crypto;2020;General;219
Bitcoin                               ;BTC       ;Crypto;2020;General;205
TRON                                  ;TRX       ;Crypto;2020;General;206
USDC                                  ;USDC      ;Crypto;2020;General;217
Toncoin                               ;TON       ;Crypto;2020;General;225
Hedera                                ;HBAR      ;Crypto;2020;General;219
Toncoin                               ;TON       ;Crypto;2020;General;225
Cardano                               ;ADA       ;Crypto;2020;General;214
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Stellar                               ;XLM       ;Crypto;2020;General;221
Solana                                ;SOL       ;Crypto;2020;General;212
Avalanche                             ;AVAX      ;Crypto;2020;General;213
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
XRP                                   ;XRP       ;Crypto;2020;General;204
TRON                                  ;TRX       ;Crypto;2020;General;206
XRP                                   ;XRP       ;Crypto;2020;General;204
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
BNB                                   ;BNB       ;Crypto;2020;General;209
Solana                                ;SOL       ;Crypto;2020;General;212
Sui                                   ;SUI       ;Crypto;2020;General;220
Avalanche                             ;AVAX      ;Crypto;2020;General;213
BNB                                   ;BNB       ;Crypto;2020;General;209
Toncoin                               ;TON       ;Crypto;2020;General;225
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
TRON                                  ;TRX       ;Crypto;2020;General;206
BNB                                   ;BNB       ;Crypto;2020;General;209
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Cardano                               ;ADA       ;Crypto;2020;General;214
Sui                                   ;SUI       ;Crypto;2020;General;220
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
TRON                                  ;TRX       ;Crypto;2020;General;206
Stellar                               ;XLM       ;Crypto;2020;General;221
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
BNB                                   ;BNB       ;Crypto;2020;General;209
Toncoin                               ;TON       ;Crypto;2020;General;225
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Cardano                               ;ADA       ;Crypto;2020;General;214
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Stellar                               ;XLM       ;Crypto;2020;General;221
USDC                                  ;USDC      ;Crypto;2020;General;217
XRP                                   ;XRP       ;Crypto;2020;General;204
Solana                                ;SOL       ;Crypto;2020;General;212
TRON                                  ;TRX       ;Crypto;2020;General;206
Solana                                ;SOL       ;Crypto;2020;General;212
Litecoin                              ;LTC       ;Crypto;2020;General;223
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Solana                                ;SOL       ;Crypto;2020;General;212
XRP                                   ;XRP       ;Crypto;2020;General;204
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Toncoin                               ;TON       ;Crypto;2020;General;225
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Hedera                                ;HBAR      ;Crypto;2020;General;219
XRP                                   ;XRP       ;Crypto;2020;General;204
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Litecoin                              ;LTC       ;Crypto;2020;General;223
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Hedera                                ;HBAR      ;Crypto;2020;General;219
Tether USDt                           ;USDT      ;Crypto;2020;General;208
USDC                                  ;USDC      ;Crypto;2020;General;217
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Sui                                   ;SUI       ;Crypto;2020;General;220
Toncoin                               ;TON       ;Crypto;2020;General;225
Litecoin                              ;LTC       ;Crypto;2020;General;223
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Hedera                                ;HBAR      ;Crypto;2020;General;219
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
USDC                                  ;USDC      ;Crypto;2020;General;217
Cardano                               ;ADA       ;Crypto;2020;General;214
TRON                                  ;TRX       ;Crypto;2020;General;206
Avalanche                             ;AVAX      ;Crypto;2020;General;213
XRP                                   ;XRP       ;Crypto;2020;General;204
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Hedera                                ;HBAR      ;Crypto;2020;General;219
XRP                                   ;XRP       ;Crypto;2020;General;204
Sui                                   ;SUI       ;Crypto;2020;General;220
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Solana                                ;SOL       ;Crypto;2020;General;212
Toncoin                               ;TON       ;Crypto;2020;General;225
TRON                                  ;TRX       ;Crypto;2020;General;206
Hedera                                ;HBAR      ;Crypto;2020;General;219
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Sui                                   ;SUI       ;Crypto;2020;General;220
Cardano                               ;ADA       ;Crypto;2020;General;214
Avalanche                             ;AVAX      ;Crypto;2020;General;213
XRP                                   ;XRP       ;Crypto;2020;General;204
Chainlink                             ;LINK      ;Crypto;2020;General;216
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Sui                                   ;SUI       ;Crypto;2020;General;220
Cardano                               ;ADA       ;Crypto;2020;General;214
BNB                                   ;BNB       ;Crypto;2020;General;209
TRON                                  ;TRX       ;Crypto;2020;General;206
Ethereum                              ;ETH       ;Crypto;2020;General;211
Chainlink                             ;LINK      ;Crypto;2020;General;216
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Sui                                   ;SUI       ;Crypto;2020;General;220
XRP                                   ;XRP       ;Crypto;2020;General;204
Sui                                   ;SUI       ;Crypto;2020;General;220
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Ethereum                              ;ETH       ;Crypto;2020;General;211
Chainlink                             ;LINK      ;Crypto;2020;General;216
Solana                                ;SOL       ;Crypto;2020;General;212
Litecoin                              ;LTC       ;Crypto;2020;General;223
Chainlink                             ;LINK      ;Crypto;2020;General;216
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Ethereum                              ;ETH       ;Crypto;2020;General;211
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Stellar                               ;XLM       ;Crypto;2020;General;221
USDC                                  ;USDC      ;Crypto;2020;General;217
TRON                                  ;TRX       ;Crypto;2020;General;206
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Sui                                   ;SUI       ;Crypto;2020;General;220
Solana                                ;SOL       ;Crypto;2020;General;212
Sui                                   ;SUI       ;Crypto;2020;General;220
Toncoin                               ;TON       ;Crypto;2020;General;225
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
XRP                                   ;XRP       ;Crypto;2020;General;204
Cardano                               ;ADA       ;Crypto;2020;General;214
Stellar                               ;XLM       ;Crypto;2020;General;221
BNB                                   ;BNB       ;Crypto;2020;General;209
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
TRON                                  ;TRX       ;Crypto;2020;General;206
Cardano                               ;ADA       ;Crypto;2020;General;214
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Stellar                               ;XLM       ;Crypto;2020;General;221
Toncoin                               ;TON       ;Crypto;2020;General;225
Chainlink                             ;LINK      ;Crypto;2020;General;216
XRP                                   ;XRP       ;Crypto;2020;General;204
Dogecoin                              ;DOGE      ;Crypto;2020;General;207
Sui                                   ;SUI       ;Crypto;2020;General;220
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Ethereum                              ;ETH       ;Crypto;2020;General;211
Chainlink                             ;LINK      ;Crypto;2020;General;216
Stellar                               ;XLM       ;Crypto;2020;General;221
BNB                                   ;BNB       ;Crypto;2020;General;209
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
USDC                                  ;USDC      ;Crypto;2020;General;217
Stellar                               ;XLM       ;Crypto;2020;General;221
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Chainlink                             ;LINK      ;Crypto;2020;General;216
Sui                                   ;SUI       ;Crypto;2020;General;220
Chainlink                             ;LINK      ;Crypto;2020;General;216
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Solana                                ;SOL       ;Crypto;2020;General;212
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Toncoin                               ;TON       ;Crypto;2020;General;225
TRON                                  ;TRX       ;Crypto;2020;General;206
Chainlink                             ;LINK      ;Crypto;2020;General;216
Hedera                                ;HBAR      ;Crypto;2020;General;219
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Chainlink                             ;LINK      ;Crypto;2020;General;216
XRP                                   ;XRP       ;Crypto;2020;General;204
Litecoin                              ;LTC       ;Crypto;2020;General;223
Sui                                   ;SUI       ;Crypto;2020;General;220
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
BNB                                   ;BNB       ;Crypto;2020;General;209
Chainlink                             ;LINK      ;Crypto;2020;General;216
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Bitcoin                               ;BTC       ;Crypto;2020;General;205
Sui                                   ;SUI       ;Crypto;2020;General;220
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
Avalanche                             ;AVAX      ;Crypto;2020;General;213
XRP                                   ;XRP       ;Crypto;2020;General;204
Avalanche                             ;AVAX      ;Crypto;2020;General;213
Litecoin                              ;LTC       ;Crypto;2020;General;223
Ethereum                              ;ETH       ;Crypto;2020;General;211
TRON                                  ;TRX       ;Crypto;2020;General;206
Avalanche                             ;AVAX      ;Crypto;2020;General;213
XRP                                   ;XRP       ;Crypto;2020;General;204
BNB                                   ;BNB       ;Crypto;2020;General;209
TRON                                  ;TRX       ;Crypto;2020;General;206
Hedera                                ;HBAR      ;Crypto;2020;General;219
Tether USDt                           ;USDT      ;Crypto;2020;General;208
Sui                                   ;SUI       ;Crypto;2020;General;220
Solana                                ;SOL       ;Crypto;2020;General;212
Cardano                               ;ADA       ;Crypto;2020;General;214
XRP                                   ;XRP       ;Crypto;2020;General;204
BNB                                   ;BNB       ;Crypto;2020;General;209
USDC                                  ;USDC      ;Crypto;2020;General;217
Ethereum                              ;ETH       ;Crypto;2020;General;211
UNUS SED LEO                          ;LEOu      ;Crypto;2020;General;215
Chainlink                             ;LINK      ;Crypto;2020;General;216
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
Polkadot                              ;pDOTn     ;Crypto;2020;General;228
USDC                                  ;USDC      ;Crypto;2020;General;217
XRP                                   ;XRP       ;Crypto;2020;General;204
Chainlink                             ;LINK      ;Crypto;2020;General;216
Hedera                                ;HBAR      ;Crypto;2020;General;219
Shiba Inu                             ;SHIB      ;Crypto;2020;General;226
